"användning","år","tabellinnehåll","BNP från användningssidan (ENS2010), försörjningsbalans"
"statliga myndigheters konsumtionsutgifter","2011","Löpande priser, mnkr",255534
"statliga myndigheters konsumtionsutgifter","2011","Fasta priser referensår 2020, mnkr",310641
"statliga myndigheters konsumtionsutgifter","2011","Prisförändring, procent",3.6
"statliga myndigheters konsumtionsutgifter","2011","Volymförändring, procent",0.6
"statliga myndigheters konsumtionsutgifter","2012","Löpande priser, mnkr",266612
"statliga myndigheters konsumtionsutgifter","2012","Fasta priser referensår 2020, mnkr",318430
"statliga myndigheters konsumtionsutgifter","2012","Prisförändring, procent",1.8
"statliga myndigheters konsumtionsutgifter","2012","Volymförändring, procent",2.5
"statliga myndigheters konsumtionsutgifter","2013","Löpande priser, mnkr",279459
"statliga myndigheters konsumtionsutgifter","2013","Fasta priser referensår 2020, mnkr",329700
"statliga myndigheters konsumtionsutgifter","2013","Prisförändring, procent",1.2
"statliga myndigheters konsumtionsutgifter","2013","Volymförändring, procent",3.5
"statliga myndigheters konsumtionsutgifter","2014","Löpande priser, mnkr",288179
"statliga myndigheters konsumtionsutgifter","2014","Fasta priser referensår 2020, mnkr",332119
"statliga myndigheters konsumtionsutgifter","2014","Prisförändring, procent",2.4
"statliga myndigheters konsumtionsutgifter","2014","Volymförändring, procent",0.7
"statliga myndigheters konsumtionsutgifter","2015","Löpande priser, mnkr",299169
"statliga myndigheters konsumtionsutgifter","2015","Fasta priser referensår 2020, mnkr",338639
"statliga myndigheters konsumtionsutgifter","2015","Prisförändring, procent",1.8
"statliga myndigheters konsumtionsutgifter","2015","Volymförändring, procent",2.0
"statliga myndigheters konsumtionsutgifter","2016","Löpande priser, mnkr",310229
"statliga myndigheters konsumtionsutgifter","2016","Fasta priser referensår 2020, mnkr",347047
"statliga myndigheters konsumtionsutgifter","2016","Prisförändring, procent",1.2
"statliga myndigheters konsumtionsutgifter","2016","Volymförändring, procent",2.5
"statliga myndigheters konsumtionsutgifter","2017","Löpande priser, mnkr",313751
"statliga myndigheters konsumtionsutgifter","2017","Fasta priser referensår 2020, mnkr",341910
"statliga myndigheters konsumtionsutgifter","2017","Prisförändring, procent",2.7
"statliga myndigheters konsumtionsutgifter","2017","Volymförändring, procent",-1.5
"statliga myndigheters konsumtionsutgifter","2018","Löpande priser, mnkr",325583
"statliga myndigheters konsumtionsutgifter","2018","Fasta priser referensår 2020, mnkr",344056
"statliga myndigheters konsumtionsutgifter","2018","Prisförändring, procent",3.1
"statliga myndigheters konsumtionsutgifter","2018","Volymförändring, procent",0.6
"statliga myndigheters konsumtionsutgifter","2019","Löpande priser, mnkr",334921
"statliga myndigheters konsumtionsutgifter","2019","Fasta priser referensår 2020, mnkr",340385
"statliga myndigheters konsumtionsutgifter","2019","Prisförändring, procent",4.0
"statliga myndigheters konsumtionsutgifter","2019","Volymförändring, procent",-1.1
"statliga myndigheters konsumtionsutgifter","2020","Löpande priser, mnkr",341865
"statliga myndigheters konsumtionsutgifter","2020","Fasta priser referensår 2020, mnkr",341865
"statliga myndigheters konsumtionsutgifter","2020","Prisförändring, procent",1.6
"statliga myndigheters konsumtionsutgifter","2020","Volymförändring, procent",0.4
"statliga myndigheters konsumtionsutgifter","2021","Löpande priser, mnkr",369492
"statliga myndigheters konsumtionsutgifter","2021","Fasta priser referensår 2020, mnkr",361060
"statliga myndigheters konsumtionsutgifter","2021","Prisförändring, procent",2.3
"statliga myndigheters konsumtionsutgifter","2021","Volymförändring, procent",5.6
"statliga myndigheters konsumtionsutgifter","2022","Löpande priser, mnkr",398382
"statliga myndigheters konsumtionsutgifter","2022","Fasta priser referensår 2020, mnkr",369497
"statliga myndigheters konsumtionsutgifter","2022","Prisförändring, procent",5.4
"statliga myndigheters konsumtionsutgifter","2022","Volymförändring, procent",2.3
"statliga myndigheters konsumtionsutgifter","2023","Löpande priser, mnkr",428738
"statliga myndigheters konsumtionsutgifter","2023","Fasta priser referensår 2020, mnkr",380479
"statliga myndigheters konsumtionsutgifter","2023","Prisförändring, procent",4.5
"statliga myndigheters konsumtionsutgifter","2023","Volymförändring, procent",3.0
"statliga myndigheters konsumtionsutgifter","2024","Löpande priser, mnkr",448522
"statliga myndigheters konsumtionsutgifter","2024","Fasta priser referensår 2020, mnkr",384679
"statliga myndigheters konsumtionsutgifter","2024","Prisförändring, procent",3.5
"statliga myndigheters konsumtionsutgifter","2024","Volymförändring, procent",1.1
"kommunala myndigheters konsumtionsutgifter","1980","Löpande priser, mnkr",106048
"kommunala myndigheters konsumtionsutgifter","1980","Fasta priser referensår 2020, mnkr",589929
"kommunala myndigheters konsumtionsutgifter","1980","Prisförändring, procent",..
"kommunala myndigheters konsumtionsutgifter","1980","Volymförändring, procent",..
"kommunala myndigheters konsumtionsutgifter","1981","Löpande priser, mnkr",118584
"kommunala myndigheters konsumtionsutgifter","1981","Fasta priser referensår 2020, mnkr",606417
"kommunala myndigheters konsumtionsutgifter","1981","Prisförändring, procent",8.8
"kommunala myndigheters konsumtionsutgifter","1981","Volymförändring, procent",2.8
"kommunala myndigheters konsumtionsutgifter","1982","Löpande priser, mnkr",130356
"kommunala myndigheters konsumtionsutgifter","1982","Fasta priser referensår 2020, mnkr",617821
"kommunala myndigheters konsumtionsutgifter","1982","Prisförändring, procent",7.9
"kommunala myndigheters konsumtionsutgifter","1982","Volymförändring, procent",1.9
"kommunala myndigheters konsumtionsutgifter","1983","Löpande priser, mnkr",145916
"kommunala myndigheters konsumtionsutgifter","1983","Fasta priser referensår 2020, mnkr",632722
"kommunala myndigheters konsumtionsutgifter","1983","Prisförändring, procent",9.3
"kommunala myndigheters konsumtionsutgifter","1983","Volymförändring, procent",2.4
"kommunala myndigheters konsumtionsutgifter","1984","Löpande priser, mnkr",159857
"kommunala myndigheters konsumtionsutgifter","1984","Fasta priser referensår 2020, mnkr",650995
"kommunala myndigheters konsumtionsutgifter","1984","Prisförändring, procent",6.5
"kommunala myndigheters konsumtionsutgifter","1984","Volymförändring, procent",2.9
"kommunala myndigheters konsumtionsutgifter","1985","Löpande priser, mnkr",173130
"kommunala myndigheters konsumtionsutgifter","1985","Fasta priser referensår 2020, mnkr",665741
"kommunala myndigheters konsumtionsutgifter","1985","Prisförändring, procent",5.9
"kommunala myndigheters konsumtionsutgifter","1985","Volymförändring, procent",2.3
"kommunala myndigheters konsumtionsutgifter","1986","Löpande priser, mnkr",186687
"kommunala myndigheters konsumtionsutgifter","1986","Fasta priser referensår 2020, mnkr",676543
"kommunala myndigheters konsumtionsutgifter","1986","Prisförändring, procent",6.1
"kommunala myndigheters konsumtionsutgifter","1986","Volymförändring, procent",1.6
"kommunala myndigheters konsumtionsutgifter","1987","Löpande priser, mnkr",197262
"kommunala myndigheters konsumtionsutgifter","1987","Fasta priser referensår 2020, mnkr",691390
"kommunala myndigheters konsumtionsutgifter","1987","Prisförändring, procent",3.4
"kommunala myndigheters konsumtionsutgifter","1987","Volymförändring, procent",2.2
"kommunala myndigheters konsumtionsutgifter","1988","Löpande priser, mnkr",210256
"kommunala myndigheters konsumtionsutgifter","1988","Fasta priser referensår 2020, mnkr",699301
"kommunala myndigheters konsumtionsutgifter","1988","Prisförändring, procent",5.4
"kommunala myndigheters konsumtionsutgifter","1988","Volymförändring, procent",1.1
"kommunala myndigheters konsumtionsutgifter","1989","Löpande priser, mnkr",233685
"kommunala myndigheters konsumtionsutgifter","1989","Fasta priser referensår 2020, mnkr",707413
"kommunala myndigheters konsumtionsutgifter","1989","Prisförändring, procent",9.9
"kommunala myndigheters konsumtionsutgifter","1989","Volymförändring, procent",1.2
"kommunala myndigheters konsumtionsutgifter","1990","Löpande priser, mnkr",268358
"kommunala myndigheters konsumtionsutgifter","1990","Fasta priser referensår 2020, mnkr",722806
"kommunala myndigheters konsumtionsutgifter","1990","Prisförändring, procent",12.4
"kommunala myndigheters konsumtionsutgifter","1990","Volymförändring, procent",2.2
"kommunala myndigheters konsumtionsutgifter","1991","Löpande priser, mnkr",293435
"kommunala myndigheters konsumtionsutgifter","1991","Fasta priser referensår 2020, mnkr",749827
"kommunala myndigheters konsumtionsutgifter","1991","Prisförändring, procent",5.4
"kommunala myndigheters konsumtionsutgifter","1991","Volymförändring, procent",3.7
"kommunala myndigheters konsumtionsutgifter","1992","Löpande priser, mnkr",302805
"kommunala myndigheters konsumtionsutgifter","1992","Fasta priser referensår 2020, mnkr",749796
"kommunala myndigheters konsumtionsutgifter","1992","Prisförändring, procent",3.2
"kommunala myndigheters konsumtionsutgifter","1992","Volymförändring, procent",0.0
"kommunala myndigheters konsumtionsutgifter","1993","Löpande priser, mnkr",299159
"kommunala myndigheters konsumtionsutgifter","1993","Fasta priser referensår 2020, mnkr",741238
"kommunala myndigheters konsumtionsutgifter","1993","Prisförändring, procent",-0.1
"kommunala myndigheters konsumtionsutgifter","1993","Volymförändring, procent",-1.1
"kommunala myndigheters konsumtionsutgifter","1994","Löpande priser, mnkr",306936
"kommunala myndigheters konsumtionsutgifter","1994","Fasta priser referensår 2020, mnkr",736451
"kommunala myndigheters konsumtionsutgifter","1994","Prisförändring, procent",3.3
"kommunala myndigheters konsumtionsutgifter","1994","Volymförändring, procent",-0.6
"kommunala myndigheters konsumtionsutgifter","1995","Löpande priser, mnkr",318459
"kommunala myndigheters konsumtionsutgifter","1995","Fasta priser referensår 2020, mnkr",737221
"kommunala myndigheters konsumtionsutgifter","1995","Prisförändring, procent",3.6
"kommunala myndigheters konsumtionsutgifter","1995","Volymförändring, procent",0.1
"kommunala myndigheters konsumtionsutgifter","1996","Löpande priser, mnkr",336335
"kommunala myndigheters konsumtionsutgifter","1996","Fasta priser referensår 2020, mnkr",742504
"kommunala myndigheters konsumtionsutgifter","1996","Prisförändring, procent",4.9
"kommunala myndigheters konsumtionsutgifter","1996","Volymförändring, procent",0.7
"kommunala myndigheters konsumtionsutgifter","1997","Löpande priser, mnkr",349546
"kommunala myndigheters konsumtionsutgifter","1997","Fasta priser referensår 2020, mnkr",746866
"kommunala myndigheters konsumtionsutgifter","1997","Prisförändring, procent",3.3
"kommunala myndigheters konsumtionsutgifter","1997","Volymförändring, procent",0.6
"kommunala myndigheters konsumtionsutgifter","1998","Löpande priser, mnkr",382297
"kommunala myndigheters konsumtionsutgifter","1998","Fasta priser referensår 2020, mnkr",801219
"kommunala myndigheters konsumtionsutgifter","1998","Prisförändring, procent",2.0
"kommunala myndigheters konsumtionsutgifter","1998","Volymförändring, procent",7.3
"kommunala myndigheters konsumtionsutgifter","1999","Löpande priser, mnkr",399980
"kommunala myndigheters konsumtionsutgifter","1999","Fasta priser referensår 2020, mnkr",814565
"kommunala myndigheters konsumtionsutgifter","1999","Prisförändring, procent",2.9
"kommunala myndigheters konsumtionsutgifter","1999","Volymförändring, procent",1.7
"kommunala myndigheters konsumtionsutgifter","2000","Löpande priser, mnkr",410077
"kommunala myndigheters konsumtionsutgifter","2000","Fasta priser referensår 2020, mnkr",809981
"kommunala myndigheters konsumtionsutgifter","2000","Prisförändring, procent",3.1
"kommunala myndigheters konsumtionsutgifter","2000","Volymförändring, procent",-0.6
"kommunala myndigheters konsumtionsutgifter","2001","Löpande priser, mnkr",437795
"kommunala myndigheters konsumtionsutgifter","2001","Fasta priser referensår 2020, mnkr",822138
"kommunala myndigheters konsumtionsutgifter","2001","Prisförändring, procent",5.2
"kommunala myndigheters konsumtionsutgifter","2001","Volymförändring, procent",1.5
"kommunala myndigheters konsumtionsutgifter","2002","Löpande priser, mnkr",469228
"kommunala myndigheters konsumtionsutgifter","2002","Fasta priser referensår 2020, mnkr",838694
"kommunala myndigheters konsumtionsutgifter","2002","Prisförändring, procent",5.1
"kommunala myndigheters konsumtionsutgifter","2002","Volymförändring, procent",2.0
"kommunala myndigheters konsumtionsutgifter","2003","Löpande priser, mnkr",494520
"kommunala myndigheters konsumtionsutgifter","2003","Fasta priser referensår 2020, mnkr",837632
"kommunala myndigheters konsumtionsutgifter","2003","Prisförändring, procent",5.5
"kommunala myndigheters konsumtionsutgifter","2003","Volymförändring, procent",-0.1
"kommunala myndigheters konsumtionsutgifter","2004","Löpande priser, mnkr",505796
"kommunala myndigheters konsumtionsutgifter","2004","Fasta priser referensår 2020, mnkr",831421
"kommunala myndigheters konsumtionsutgifter","2004","Prisförändring, procent",3.0
"kommunala myndigheters konsumtionsutgifter","2004","Volymförändring, procent",-0.7
"kommunala myndigheters konsumtionsutgifter","2005","Löpande priser, mnkr",525282
"kommunala myndigheters konsumtionsutgifter","2005","Fasta priser referensår 2020, mnkr",840654
"kommunala myndigheters konsumtionsutgifter","2005","Prisförändring, procent",2.7
"kommunala myndigheters konsumtionsutgifter","2005","Volymförändring, procent",1.1
"kommunala myndigheters konsumtionsutgifter","2006","Löpande priser, mnkr",553573
"kommunala myndigheters konsumtionsutgifter","2006","Fasta priser referensår 2020, mnkr",855699
"kommunala myndigheters konsumtionsutgifter","2006","Prisförändring, procent",3.5
"kommunala myndigheters konsumtionsutgifter","2006","Volymförändring, procent",1.8
